;id;day;airline;destination;dest_region;dest_size;boarding_area;dept_time;wait_min;no_pass;cleanliness;safety;satisfaction
0;1351;Tuesday;UNITED INTL;KANSAI;Asia;Hub;Gates 91-102;31.12.2018;115.0;123;Clean;Neutral;1
1;373;Friday;ALASKA;SAN JOSE DEL CABO;Canada/Mexico;Small;Gates 50-59;31.12.2018;135.0;177;Clean;Very safe;1
2;2820;Thursday;DELTA;LOS ANGELES;West US;Hub;Gates 40-48;31.12.2018;70.0000000000001;282;Average;Somewhat safe;0
3;1157;Tuesday;SOUTHWEST;LOS ANGELES;West US;Hub;Gates 20-39;31.12.2018;190.0;126;Clean;Very safe;1
4;2992;Wednesday;AMERICAN;MIAMI;East US;Hub;Gates 50-59;31.12.2018;559.0;142;Somewhat clean;Very safe;1
5;634;Thursday;ALASKA;NEWARK;East US;Hub;Gates 50-59;31.12.2018;140.0;193;Somewhat clean;Very safe;1
6;2578;Saturday;JETBLUE;LONG BEACH;West US;Small;Gates 1-12;31.12.2018;62.99999999999989;256;Clean;Very safe;1
8;2592;Saturday;AEROMEXICO;MEXICO CITY;Canada/Mexico;    Hub;Gates 1-12;31.12.2018;215.0;156;Somewhat clean;Very safe;0
9;919;Friday;AIR CANADA;TORONTO;Canada/Mexico;Hub;Gates 91-102;31.12.2018;70.0000000000001;141;Somewhat clean;Somewhat safe;1
10;3028;Tuesday;UNITED;PORTLAND;West US;Medium;Gates 70-90;31.12.2018;180.0;198;Average;Very safe;0
11;1129;Tuesday;SOUTHWEST;SAN DIEGO;West US;Medium;Gates 20-39;31.12.2018;540.0;142;Clean;Very safe;1
12;2648;Saturday;JETBLUE;BOSTON;East US;Large;Gates 1-12;31.12.2018;192.0;249;Somewhat clean;Very safe;1
13;3104;Tuesday;UNITED;SPOKANE;West US;Small;Gates 70-90;31.12.2018;107.0;293;Clean;Very safe;1
14;2589;Saturday;INTERJET;GUADALAJARA;Canada/Mexico;Medium;Gates 1-12;31.12.2018;155.0;137;Somewhat clean;Somewhat safe;1
15;2345;Tuesday;DELTA;MINNEAPOLIS-ST. PAUL;Midwest US;Hub;Gates 40-48;31.12.2018;155.0;;Somewhat clean;Somewhat safe;1
16;390;Friday;ALASKA;LOS ANGELES;West US;Hub;Gates 50-59;31.12.2018;175.0;;Somewhat clean;Neutral;1
17;954;Tuesday;ALASKA;NEW YORK-JFK;EAST US;    Hub;Gates 50-59;31.12.2018;100.0;;Clean;Very safe;1
18;2913;Friday;TURKISH AIRLINES;ISTANBUL;Middle East;Hub;Gates 91-102;31.12.2018;225.0;;Clean;Very safe;1
19;803;Sunday;ALASKA;BALTIMORE;East US;Medium;Gates 50-59;31.12.2018;155.0;215;Clean;Very safe;1
20;767;Thursday;AIR CANADA;TORONTO;Canada/Mexico;Hub;Gates 91-102;31.12.2018;115.0;261;Average;Neutral;1
21;1214;Tuesday;SOUTHWEST;LAS VEGAS;West US;Hub;Gates 20-39;31.12.2018;59.99999999999989;202;Average;Somewhat safe;1
22;1373;Tuesday;UNITED INTL;SHANGHAI;Asia;Hub     ;Gates 91-102;31.12.2018;145.0;174;Clean;Very safe;1
23;1263;Thursday;UNITED INTL;TOKYO-NARITA;Asia;Hub;Gates 91-102;31.12.2018;210.0;277;Average;Neutral;0
24;2723;Wednesday;AIR FRANCE/KLM;PARIS-DE GAULLE;Europe;Hub;Gates 1-12;31.12.2018;160.0;198;Somewhat clean;Very safe;1
25;3097;Tuesday;UNITED;SPOKANE;West US;    Small;Gates 70-90;31.12.2018;604.0;131;Clean;Very safe;1
27;214;Wednesday;AMERICAN;LOS ANGELES;West US;Hub;Gates 50-59;31.12.2018;100.0;105;Average;Somewhat safe;1
28;1372;Tuesday;UNITED INTL;PARIS-DE GAULLE;eur;    Hub;Gates 91-102;31.12.2018;205.0;239;Somewhat clean;Very safe;1
29;1956;Tuesday;UNITED;BOSTON;East US;Large;Gates 70-90;31.12.2018;115.0;252;Somewhat clean;Somewhat safe;1
30;1716;Sunday;AIR FRANCE/KLM;PARIS-DE GAULLE;Europe;Hub;Gates 1-12;31.12.2018;510.0;179;Clean;Neutral;1
31;1487;Wednesday;HAWAIIAN AIR;HONOLULU;West US;Medium     ;Gates 1-12;31.12.2018;135.0;111;Clean;Very safe;1
32;842;Tuesday;AMERICAN;DALLAS-FT. WORTH;Midwest US;    Hub;Gates 50-59;31.12.2018;145.0;246;Somewhat clean;Very safe;1
33;930;Friday;AIR CANADA;TORONTO;Canada/Mexico;Hub;Gates 91-102;31.12.2018;270.0;144;Average;Somewhat safe;1
34;3064;Sunday;COPA;PANAMA CITY;Central/South America;Medium;Gates 1-12;31.12.2018;173.0;190;Average;Neutral;0
35;743;Sunday;ALASKA;NEW YORK-JFK;East US;Hub;Gates 50-59;31.12.2018;100.0;167;Somewhat clean;Very safe;1
36;2099;Monday;UNITED INTL;MEXICO CITY;Canada/Mexico;Hub;Gates 91-102;31.12.2018;190.0;159;Clean;Very safe;0
37;315;Thursday;UNITED;SAN DIEGO;West US;Medium;Gates 70-90;31.12.2018;92.00000000000021;146;Somewhat clean;Very safe;1
38;2216;Thursday;SOUTHWEST;PHOENIX;West US;Hub;Gates 20-39;31.12.2018;135.0;157;Somewhat clean;Very safe;1
39;3121;Sunday;ALASKA;NEWARK;East US;Hub;Gates 50-59;31.12.2018;125.0;158;Clean;Very safe;0
41;2890;Sunday;WOW;REYKJAVIK;Europe;Small;Gates 1-12;31.12.2018;145.0;180;Average;Neutral;1
42;3046;Tuesday;AMERICAN;LOS ANGELES;West US;Hub     ;Gates 50-59;31.12.2018;120.0;162;Average;Very safe;1
43;3183;Thursday;DELTA;LOS ANGELES;West US;Hub;Gates 40-48;31.12.2018;900.0;187;Somewhat clean;Somewhat safe;1
44;2288;Tuesday;UNITED;SAN ANTONIO;Midwest US;    Medium;Gates 70-90;31.12.2018;150.0;106;Clean;Very safe;1
45;2740;Wednesday;AIR FRANCE/KLM;PARIS-DE GAULLE;eur;    Hub;Gates 1-12;31.12.2018;330.0;258;Average;Very unsafe;1
46;1570;Wednesday;UNITED INTL;HONG KONG;Asia;Hub;Gates 91-102;31.12.2018;150.0;280;Clean;Somewhat safe;1
47;3228;Thursday;ALASKA;PORTLAND;West US;Medium;Gates 50-59;31.12.2018;110.0;262;Clean;Very safe;1
48;1140;Tuesday;SOUTHWEST;LOS ANGELES;West US;Hub;Gates 20-39;31.12.2018;415.0;234;Somewhat clean;Very safe;1
49;349;Friday;ALASKA;SAN DIEGO;West US;Medium;Gates 50-59;31.12.2018;76.0000000000001;275;Clean;Very safe;1
50;1572;Wednesday;UNITED INTL;HONG KONG;Asia;Hub;Gates 91-102;31.12.2018;150.0;228;Somewhat clean;Neutral;1
52;1635;Thursday;KOREAN AIR;SEOUL;Asia;Hub;Gates 1-12;31.12.2018;210.0;259;Somewhat dirty;Somewhat safe;0
56;524;Thursday;EMIRATES;DUBAI;Middle East;Hub;Gates 1-12;31.12.2018;165.0;138;Somewhat clean;Somewhat safe;0
57;1139;Tuesday;SOUTHWEST;SAN DIEGO;West US;Medium;Gates 20-39;31.12.2018;120.0;205;Average;Very safe;1
58;314;Thursday;UNITED;SAN DIEGO;West US;Medium;Gates 70-90;31.12.2018;122.0;282;Clean;Very safe;1
59;558;Thursday;EMIRATES;DUBAI;Middle East;Hub;Gates 1-12;31.12.2018;225.0;269;Somewhat clean;Somewhat safe;1
60;262;Friday;AIR CANADA;TORONTO;Canada/Mexico;Hub;Gates 91-102;31.12.2018;175.0;223;Somewhat clean;Somewhat safe;1
61;2537;Tuesday;UNITED;CHICAGO-O'HARE;Midwest US;    Hub;Gates 60-69;31.12.2018;115.0;299;Clean;Very safe;1
62;1713;Sunday;AIR FRANCE/KLM;PARIS-DE GAULLE;Europe;Hub;Gates 1-12;31.12.2018;135.0;228;Average;Very safe;1
63;407;Saturday;UNITED;PHOENIX;West US;Hub;Gates 70-90;31.12.2018;110.0;138;Clean;Very safe;1
64;3212;Thursday;AMERICAN;LOS ANGELES;West US;Hub;Gates 50-59;31.12.2018;90.0;105;Somewhat clean;Somewhat safe;0
65;450;Sunday;UNITED;INDIANAPOLIS;Midwest US;Medium;Gates 60-69;31.12.2018;67.9999999999999;119;Clean;Somewhat safe;1
66;1477;Wednesday;AVIANCA;SAN SALVADOR;Central/South America;Small;Gates 1-12;31.12.2018;155.0;171;Clean;Very safe;1
67;3151;Thursday;DELTA;SALT LAKE CITY;West US;Medium;Gates 40-48;31.12.2018;14.9999999999999;151;Average;Very safe;0
68;2257;Wednesday;UNITED;LOS ANGELES;West US;Hub;Gates 60-69;31.12.2018;64.9999999999999;195;Clean;Very safe;1
69;2400;Wednesday;UNITED INTL;BEIJING;Asia;Hub;Gates 91-102;31.12.2018;205.0;173;Clean;Very safe;1
